p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
4.463387698129131e-166,1.9280041584800802,0.692,0.177,1.1166057004409647e-161,0,Dpep1,0.5149999999999999
4.1145863174453355e-164,1.6744646909001866,0.767,0.225,1.0293460590352995e-159,0,Cdh11,0.542
1.129003502391745e-162,1.9380147992574974,0.893,0.354,2.8244280619334284e-158,0,Mfap4,0.539
1.2678381100454361e-160,1.5157672601620773,0.916,0.444,3.171750599900668e-156,0,Plpp3,0.47200000000000003
1.2323397733530346e-159,1.6428387228916261,0.792,0.254,3.0829444109972864e-155,0,Myh10,0.538
2.006413327235483e-158,1.5620120840405232,0.883,0.359,5.019444220745008e-154,0,Ltbp4,0.524
5.2370444958242465e-158,1.8129288113865154,0.636,0.146,1.3101514215203517e-153,0,Nox4,0.49
8.258230607931731e-158,1.7463959725921252,0.713,0.201,2.0659615511862813e-153,0,Cfh,0.512
7.884655475916844e-154,1.6460228798955208,0.741,0.215,1.9725042604101166e-149,0,Cp,0.526
2.457896259021119e-150,1.5615659029458864,0.932,0.412,6.148919071193134e-146,0,Apoe,0.52
2.6146921937016585e-147,1.481061808144578,0.858,0.326,6.541175460983439e-143,0,Sod3,0.532
6.1363020964093184e-145,1.8712705300990489,0.653,0.175,1.5351186954587192e-140,0,Gsta3,0.47800000000000004
1.9836761560308128e-143,1.3054066682313712,0.938,0.551,4.962562639542285e-139,0,Tns1,0.3869999999999999
8.816419635243417e-143,1.3530575813829255,0.79,0.264,2.2056037001488457e-138,0,Rbp1,0.526
1.096142762970166e-141,1.4613263428923322,0.824,0.317,2.742220350122464e-137,0,Lbh,0.5069999999999999
4.9337950075064404e-141,1.5428194670587945,0.755,0.25,1.2342874970278863e-136,0,Palld,0.505
1.698962246304112e-139,1.6284714660916708,0.643,0.168,4.2502938515789966e-135,0,Ptprd,0.475
3.0994500781580865e-139,1.1129483243883196,0.982,0.528,7.753894260528085e-135,0,Bgn,0.45399999999999996
1.8196176633987852e-138,1.5931337435772006,0.672,0.188,4.552137508524741e-134,0,Selenbp1,0.48400000000000004
5.242368654339709e-138,1.7790107491794052,0.592,0.145,1.311483366256165e-133,0,Atp1a2,0.44699999999999995
4.3826645951086096e-136,1.7596902411291862,0.579,0.139,1.0964112017583209e-131,0,Col13a1,0.43999999999999995
7.691779641041593e-133,1.5322667681519477,0.7,0.216,1.9242525127993753e-128,0,Gpm6b,0.484
5.480944689082533e-132,1.8551577012377949,0.52,0.109,1.3711679328677772e-127,0,Scn3a,0.41100000000000003
1.7912846600455918e-130,1.8006215399296805,0.65,0.195,4.481256834036057e-126,0,Tcf21,0.455
2.1990915354154342e-130,1.8871416845702549,0.685,0.224,5.501467294148792e-126,0,G0s2,0.4610000000000001
9.410070998355102e-130,1.0521954944407632,0.871,0.357,2.3541174616584958e-125,0,Fn1,0.514
8.420640261891754e-116,1.4403297498247556,0.65,0.206,2.10659157431746e-111,0,Scarf2,0.44400000000000006
2.057892192305692e-115,1.3518345298166625,0.743,0.289,5.1482288974911496e-111,0,Pbx1,0.454
2.0182430646338504e-110,1.5535667903353145,0.537,0.139,5.049038674794503e-106,0,Mamdc2,0.398
9.219047929435088e-109,0.6773017328307636,0.992,0.506,2.3063292205067758e-104,0,Mgp,0.486
9.00176605655453e-106,1.605034589732563,0.571,0.171,2.2519718143682467e-101,0,Crispld2,0.3999999999999999
1.4473698204591717e-105,1.1010458500137343,0.871,0.455,3.62088507984271e-101,0,Mylk,0.416
1.0225631574796405e-104,1.2724840882603516,0.706,0.251,2.5581462510668167e-100,0,Loxl1,0.45499999999999996
3.033091956987279e-103,1.1011873634774805,0.872,0.473,7.587886148795076e-99,0,Sh3bgrl,0.399
