p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff
1.3944204178392876e-307,0.5142678159963476,0.585,0.365,3.488421559308546e-303,0,Bmp5,0.21999999999999997
4.8121132192521965e-293,0.523454325533965,0.579,0.373,1.203846364060322e-288,0,Cd164,0.20599999999999996
2.8872200467796646e-277,0.5577042554751555,0.512,0.312,7.222958391028687e-273,0,Txnip,0.2
3.0964801639199574e-269,0.5160696968745285,0.547,0.352,7.746464426078558e-265,0,Cyba,0.19500000000000006
4.0305225588335656e-240,0.5351085146533817,0.521,0.349,1.0083158285433932e-235,0,Comt,0.17200000000000004
8.862348462902917e-211,0.5205393627073213,0.605,0.439,2.217093714964423e-206,0,Ccn2,0.16599999999999998
0,2.0376780980625986,0.524,0.204,0,1,Timp1,0.32000000000000006
0,1.803546693946191,0.657,0.22,0,1,Lpl,0.43700000000000006
0,1.7263852398669934,0.543,0.166,0,1,Fxyd6,0.377
0,1.6662401515426088,0.646,0.258,0,1,Sfrp1,0.388
0,1.614330061625824,0.53,0.17,0,1,Clec11a,0.36
0,1.6075189320064942,0.905,0.506,0,1,Col5a2,0.399
0,1.5911953341866927,0.901,0.531,0,1,Thbs1,0.37
0,1.4958904266067012,0.953,0.726,0,1,Eln,0.22699999999999998
0,1.4913168694880814,0.737,0.364,0,1,Igf1,0.373
0,1.41349342893957,0.994,0.835,0,1,Col3a1,0.15900000000000003
0,1.3841549338244168,0.661,0.312,0,1,Spon2,0.34900000000000003
0,1.3821576863998657,0.671,0.418,0,1,Mt1,0.25300000000000006
0,1.36579151334118,0.64,0.236,0,1,Ccdc80,0.404
0,1.3573533108287141,0.935,0.599,0,1,Mfap5,0.3360000000000001
0,1.3173857709576051,0.845,0.506,0,1,Vcam1,0.33899999999999997
0,1.316061189102919,0.963,0.688,0,1,Pmepa1,0.275
0,1.2646770340872473,0.982,0.754,0,1,Col1a1,0.22799999999999998
0,1.2627391983117544,0.757,0.375,0,1,Adamts2,0.382
0,1.2625245798305915,1,0.912,0,1,Mgp,0.08799999999999997
0,1.25582413091814,0.636,0.305,0,1,Man2a1,0.331
0,1.2460978471156887,0.917,0.579,0,1,Col6a3,0.3380000000000001
0,1.2194174791349506,0.912,0.586,0,1,Serpine2,0.32600000000000007
0,1.1911850713379946,0.725,0.45,0,1,Gm13889,0.27499999999999997
0,1.1643727701825064,0.995,0.837,0,1,Col1a2,0.15800000000000003
0,1.163527543573421,0.582,0.277,0,1,Tnfsf13b,0.30499999999999994
0,1.146511152631896,0.814,0.498,0,1,Serpina3n,0.31599999999999995
0,1.128929354185875,0.627,0.273,0,1,Cpxm1,0.354
0,1.128307791062083,0.501,0.226,0,1,Mdk,0.275
0,1.1146007550670227,0.5,0.222,0,1,Tgfb3,0.278
0,1.112841627959934,0.903,0.6,0,1,Col6a2,0.30300000000000005
0,1.1104492874911416,0.651,0.343,0,1,Col5a1,0.308
0,1.100090704928351,0.745,0.441,0,1,Ism1,0.304
0,1.0958767626121957,0.904,0.63,0,1,Nbl1,0.274
0,1.072285705296376,0.82,0.493,0,1,Mmp2,0.32699999999999996
0,1.0681364734365952,0.955,0.704,0,1,Col6a1,0.251
0,1.0585942964484134,0.851,0.573,0,1,Sdc4,0.278
0,1.0546850787543272,0.998,0.933,0,1,Sparc,0.06499999999999995
0,1.050565718693936,0.552,0.28,0,1,Gem,0.272
0,1.0504765172036572,0.91,0.605,0,1,Fbn1,0.30500000000000005
0,1.0319296453849436,0.99,0.889,0,1,Sparcl1,0.10099999999999998
0,1.0159206152865055,0.615,0.297,0,1,Lgmn,0.318
0,1.008927859527452,0.916,0.641,0,1,Fn1,0.275
0,0.9998764788784202,0.977,0.8,0,1,Lgals1,0.17699999999999994
0,0.981485244838844,0.733,0.48,0,1,Cxcl14,0.253
0,0.980862242709146,0.916,0.618,0,1,Fstl1,0.29800000000000004
0,0.9657212025630149,0.701,0.375,0,1,Emilin1,0.32599999999999996
0,0.9642190053514805,0.548,0.261,0,1,Gas7,0.28700000000000003
0,0.94640174161008,0.863,0.537,0,1,Dpt,0.32599999999999996
0,0.9294928793891629,0.792,0.493,0,1,Ppic,0.29900000000000004
0,0.919459433726423,0.805,0.542,0,1,Gas6,0.263
0,0.9164739130683232,0.539,0.274,0,1,Ckap4,0.265
0,0.9037429522940884,0.623,0.359,0,1,Itgb5,0.264
0,0.9008097357651967,0.748,0.553,0,1,Gadd45b,0.19499999999999995
0,0.8989855587715825,0.558,0.296,0,1,Hmcn1,0.26200000000000007
0,0.8931231666405763,0.928,0.705,0,1,Nupr1,0.2230000000000001
0,0.8884902963201955,0.786,0.505,0,1,Mamdc2,0.281
0,0.8857743723382244,0.536,0.29,0,1,Adamtsl2,0.24600000000000005
0,0.8831456722489373,0.843,0.498,0,1,C4b,0.345
0,0.8746311994592595,0.937,0.64,0,1,Loxl1,0.29700000000000004
0,0.8740859853322795,0.557,0.298,0,1,Mmp14,0.25900000000000006
0,0.8578790842897944,0.869,0.571,0,1,Rcn3,0.29800000000000004
0,0.8484038631837088,0.718,0.393,0,1,Slit2,0.32499999999999996
0,0.8441638921240672,0.91,0.632,0,1,Cp,0.278
0,0.8418247542340742,0.998,0.868,0,1,Igfbp7,0.13
0,0.8412931719671797,0.962,0.768,0,1,Serpinh1,0.19399999999999995
0,0.8402482760787598,0.654,0.351,0,1,Dpysl3,0.30300000000000005
0,0.835340655795644,0.999,0.937,0,1,Bgn,0.061999999999999944
0,0.8352519061476027,0.979,0.802,0,1,S100a6,0.17699999999999994
0,0.8339903782978074,0.683,0.383,0,1,Bmp5,0.30000000000000004
0,0.8160459213711608,0.55,0.291,0,1,Igsf10,0.25900000000000006
0,0.80042659598044,0.969,0.738,0,1,Tmem176a,0.23099999999999998
0,0.7958568801069501,0.974,0.772,0,1,Tmem176b,0.20199999999999996
0,0.7821806635088415,0.682,0.412,0,1,Lox,0.2700000000000001
0,0.7677398692982768,0.771,0.492,0,1,Anxa1,0.279
0,0.7629180084776666,0.724,0.462,0,1,Dkk3,0.26199999999999996
0,0.7579622127645148,0.756,0.568,0,1,Nr4a1,0.18800000000000006
0,0.7341335131311922,0.892,0.602,0,1,Olfml3,0.29000000000000004
0,0.7240026251039945,0.774,0.544,0,1,Pam,0.22999999999999998
0,0.71956698297005,0.65,0.394,0,1,Gas1,0.256
0,0.7101175169435627,0.645,0.388,0,1,Adarb1,0.257
0,0.7056873978787828,0.952,0.734,0,1,Rbp1,0.21799999999999997
0,0.6808117009721488,0.713,0.439,0,1,Bicc1,0.27399999999999997
0,0.6737051937402965,0.865,0.602,0,1,Tgfbr2,0.263
0,0.6548951654333912,0.957,0.732,0,1,Sod3,0.22499999999999998
0,0.6270262328069535,0.7,0.447,0,1,Calu,0.25299999999999995
0,0.6238606233905892,0.793,0.552,0,1,Lmna,0.241
0,0.5747219291982505,0.892,0.615,0,1,Gpm6b,0.277
0,0.5702288394030252,0.888,0.651,0,1,Ctsb,0.237
0,0.5596630018931796,0.963,0.792,0,1,Cd63,0.17099999999999993
0,0.5584724253133051,0.995,0.956,0,1,Cst3,0.039000000000000035
0,0.5459371109495517,0.792,0.556,0,1,Arf4,0.236
0,0.5218302838665198,0.863,0.638,0,1,Pdia3,0.22499999999999998
